'MULTI-LEVEL CCS DIAGNOSIS CATEGORIES','MULTI-LEVEL CCS DIAGNOSIS LABELS'
'1','Operations on the nervous system '
'1.1','Incision and excision of CNS [1.] '
'1.1.1','Craniotomy and craniectomy '
'1.1.2','Incision of cerebral meninges '
'1.1.3','Other incision and excision of CNS '
'1.2','Insertion; replacement; or removal of extracranial ventricular shunt [2.] '
'1.3','Laminectomy; excision intervertebral disc [3.] '
'1.3.1','Excision of intervertebral disc '
'1.3.2','Laminectomy '
'1.4','Diagnostic spinal tap [4.] '
'1.5','Insertion of catheter or spinal stimulator and injection into spinal canal [5.] '
'1.6','Decompression peripheral nerve [6.] '
'1.6.1','Release of carpal tunnel '
'1.6.2','Other lysis of adhesion and decompression of peripheral nerves '
'1.7','Other diagnostic nervous system procedures [7.] '
'1.8','Other non-OR or closed therapeutic nervous system procedures [8.] '
'1.9','Other OR therapeutic nervous system procedures [9.] '
'2','Operations on the endocrine system '
'2.1','Thyroidectomy; partial or complete [10.] '
'2.2','Diagnostic endocrine procedures [11.] '
'2.3','Other therapeutic endocrine procedures [12.] '
'3','Operations on the eye '
'3.1','Corneal transplant [13.] '
'3.2','Glaucoma procedures [14.] '
'3.3','Lens and cataract procedures [15.] '
'3.3.1','Insertion of prosthetic lens '
'3.3.2','Phacoemulsification and aspiration of cataract '
'3.3.3','Other extracapsular extraction of lens '
'3.3.4','Other lens and cataract procedures '
'3.4','Repair of retinal tear; detachment [16.] '
'3.5','Destruction of lesion of retina and choroid [17.] '
'3.6','Diagnostic procedures on eye [18.] '
'3.7','Other therapeutic procedures on eyelids; conjunctiva; cornea [19.] '
'3.8','Other intraocular therapeutic procedures [20.] '
'3.9','Other extraocular muscle and orbit therapeutic procedures [21.] '
'4','Operations on the ear '
'4.1','Tympanoplasty [22.] '
'4.2','Myringotomy [23.] '
'4.3','Mastoidectomy [24.] '
'4.4','Diagnostic procedures on ear [25.] '
'4.5','Other therapeutic ear procedures [26.] '
'5','Operations on the nose; mouth; and pharynx '
'5.1','Control of epistaxis [27.] '
'5.2','Plastic procedures on nose [28.] '
'5.3','Dental procedures [29.] '
'5.4','Tonsillectomy and/or adenoidectomy [30.] '
'5.4.1','Tonsillectomy without adenoidectomy '
'5.4.2','Tonsillectomy with adenoidectomy '
'5.4.3','Adenoidectomy without tonsillectomy '
'5.4.4','Control of hemorrhage after tonsillectomy or adenoidectomy '
'5.5','Diagnostic procedures on nose; mouth and pharynx [31.] '
'5.5.1','Diagnostic procedures on nasal sinuses '
'5.5.2','Other diagnostic procedures on nose; mouth and pharynx '
'5.6','Other non-OR therapeutic procedures on nose; mouth and pharynx [32.] '
'5.6.1','Non-OR procedures on nasal sinuses '
'5.6.2','Other non-OR procedures on nasal sinuses '
'5.7','Other OR therapeutic procedures on nose; mouth and pharynx [33.] '
'5.7.1','OR procedures on nasal sinuses '
'5.7.2','Excision salivary gland '
'5.7.3','Repair cleft lip '
'5.7.4','Correction cleft palate '
'5.7.5','Incision and drainage of tonsils '
'5.7.6','Other procedures on nose; mouth and pharynx '
'6','Operations on the respiratory system '
'6.1','Tracheostomy; temporary and permanent [34.] '
'6.2','Tracheoscopy and laryngoscopy with biopsy [35.] '
'6.3','Lobectomy or pneumonectomy [36.] '
'6.4','Diagnostic bronchoscopy and biopsy of bronchus [37.] '
'6.4.1','Bronchoscopy without biopsy '
'6.4.2','Endoscopic biopsy of bronchus '
'6.4.3','Needle biopsy of lung '
'6.4.4','Endoscopic biopsy of lung '
'6.5','Other diagnostic procedures on lung and bronchus [38.] '
'6.6','Incision of pleura; thoracentesis; chest drainage [39.] '
'6.6.1','Closed chest drainage '
'6.6.2','Open chest drainage '
'6.6.3','Thoracentesis '
'6.7','Other diagnostic procedures of respiratory tract and mediastinum [40.] '
'6.8','Other non-OR therapeutic procedures on respiratory system [41.] '
'6.9','Other OR therapeutic procedures on respiratory system [42.] '
'7','Operations on the cardiovascular system '
'7.1','Heart valve procedures [43.] '
'7.2','Coronary artery bypass graft (CABG) [44.] '
'7.2.1','Bypass of one coronary artery '
'7.2.2','Bypass of two coronary arteries '
'7.2.3','Bypass of three coronary arteries '
'7.2.4','Bypass of four coronary arteries '
'7.2.5','Other bypass of coronary arteries '
'7.3','Percutaneous transluminal coronary angioplasty (PTCA) [45.] '
'7.3.1','Single vessel PTCA '
'7.3.2','Multiple vessel PTCA '
'7.4','Coronary thrombolysis [46.] '
'7.5','Diagnostic cardiac catheterization; coronary arteriography [47.] '
'7.5.1','Coronary arteriography '
'7.5.2','Cardiac catheterization '
'7.6','Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.] '
'7.6.1','Insertion; revision; replacement; or removal of pacemaker leads '
'7.6.2','Insertion; revision; replacement; or removal of pacemaker device '
'7.6.3','Insertion; revision; replacement; or removal of cardioverter/defibrillator '
'7.7','Other OR heart procedures [49.] '
'7.8','Extracorporeal circulation auxiliary to open heart procedures [50.] '
'7.9','Endarterectomy; vessel of head and neck [51.] '
'7.10','Aortic resection; replacement or anastomosis [52.] '
'7.11','Varicose vein stripping; lower limb [53.] '
'7.12','Other vascular catheterization; not heart [54.] '
'7.12.1','Arterial catheterization '
'7.12.2','Umbilical vein catheterization '
'7.12.3','Venous catheterization '
'7.13','Peripheral vascular bypass [55.] '
'7.14','Other vascular bypass and shunt; not heart [56.] '
'7.15','Creation; revision and removal of arteriovenous fistula or vessel-to-vessel cannula for dialysis [57.]'
'7.16','Hemodialysis [58.] '
'7.17','Other OR procedures on vessels of head and neck [59.] '
'7.18','Embolectomy and endarterectomy of lower limbs [60.] '
'7.19','Other OR procedures on vessels other than head and neck [61.] '
'7.19.1','Interrupt vena cava '
'7.19.2','Other OR procedures on blood vessels '
'7.20','Other diagnostic cardiovascular procedures [62.] '
'7.21','Other non-OR therapeutic cardiovascular procedures [63.] '
'8','Operations on the hemic and lymphatic system '
'8.1','Bone marrow transplant [64.] '
'8.2','Bone marrow biopsy [65.] '
'8.3','Procedures on spleen [66.] '
'8.4','Other therapeutic procedures; hemic and lymphatic system [67.] '
'8.4.1','Biopsy of lymphatic structure '
'8.4.2','Simple excision of lymphatic structure '
'8.4.3','Regional lymph node excision '
'8.4.4','Radical excision lymph nodes '
'8.4.5','Other hemic and lymphatic procedures '
'9','Operations on the digestive system '
'9.1','Therapeutic procedures on the esophagus '
'9.1.1','Injection or ligation of esophageal varices [68.] '
'9.1.2','Esophageal dilatation [69.] '
'9.2','Upper gastrointestinal endoscopy; biopsy [70.] '
'9.2.1','Esophagoscopy '
'9.2.2','Gastroscopy '
'9.2.3','Esophagogastroduodenoscopy (EGD) without biopsy '
'9.2.4','Esophagogastroduodenoscopy (EGD) with biopsy '
'9.2.5','Endoscopic biopsy small intestine '
'9.3','Gastrostomy; temporary and permanent [71.] '
'9.4','Colostomy; temporary and permanent [72.] '
'9.5','Ileostomy and other enterostomy [73.] '
'9.6','Gastrectomy; partial and total [74.] '
'9.7','Small bowel resection [75.] '
'9.8','Colonoscopy and biopsy [76.] '
'9.8.1','Closed endoscopic biopsy of large intestine '
'9.8.2','Other endoscopy of large intestine '
'9.9','Proctoscopy and anorectal biopsy [77.] '
'9.10','Colorectal resection [78.] '
'9.10.1','Right hemicolectomy '
'9.10.2','Left hemicolectomy '
'9.10.3','Sigmoidectomy '
'9.10.4','Resection of rectum '
'9.10.5','Other colorectal resections '
'9.11','Local excision of large intestine lesion (not endoscopic) [79.] '
'9.12','Appendectomy [80.] '
'9.13','Hemorrhoid procedures [81.] '
'9.14','Endoscopic retrograde cannulation of pancreas (ERCP) [82.] '
'9.15','Biopsy of liver [83.] '
'9.16','Cholecystectomy and common duct exploration [84.] '
'9.16.1','Open cholecystectomy '
'9.16.2','Laparoscopic cholecystectomy '
'9.16.3','Incision of bile duct '
'9.17','Inguinal and femoral hernia repair [85.] '
'9.17.1','Unilateral repair inguinal hernia '
'9.17.2','Bilateral repair inguinal hernia '
'9.17.3','Femoral hernia repair '
'9.18','Other hernia repair [86.] '
'9.18.1','Umbilical hernia repair '
'9.18.2','Incisional hernia repair '
'9.18.3','Other abdominal wall hernia repair '
'9.18.4','Other hernia repair '
'9.19','Laparoscopy [87.] '
'9.20','Abdominal paracentesis [88.] '
'9.21','Exploratory laparotomy [89.] '
'9.22','Excision; lysis peritoneal adhesions [90.] '
'9.23','Peritoneal dialysis [91.] '
'9.24','Other bowel diagnostic procedures [92.] '
'9.25','Other non-OR upper GI therapeutic procedures [93.] '
'9.26','Other OR upper GI therapeutic procedures [94.] '
'9.27','Other non-OR lower GI therapeutic procedures [95.] '
'9.28','Other OR lower GI therapeutic procedures [96.] '
'9.28.1','Closure of stoma of large intestine '
'9.28.2','Local excision of rectal lesion '
'9.28.3','Incision of perirectal tissue '
'9.28.4','Incision of perianal abscess '
'9.28.5','Incision/excision of anal fistula '
'9.28.6','Other lower GI procedures '
'9.29','Other gastrointestinal diagnostic procedures [97.] '
'9.30','Other non-OR gastrointestinal therapeutic procedures [98.] '
'9.31','Other OR gastrointestinal therapeutic procedures [99.] '
'9.31.1','Radical pancreaticoduodenectomy '
'9.31.2','Incision abdominal wall '
'9.31.3','Excision or destruction of peritoneal tissue '
'9.31.4','Creation of cutaneoperitoneal fistula '
'9.31.5','Other gastrointestinal therapeutic procedures '
'10','Operations on the urinary system '
'10.1','Cystoscopy and other transurethral procedures '
'10.1.1','Endoscopy and endoscopic biopsy of the urinary tract [100.] '
'10.1.2','Transurethral excision; drainage; or removal of urinary obstruction [101.] '
'10.1.3','Ureteral catheterization [102.] '
'10.2','Nephrotomy and nephrostomy [103.] '
'10.3','Nephrectomy; partial or complete [104.] '
'10.4','Kidney transplant [105.] '
'10.5','Genitourinary incontinence procedures [106.] '
'10.6','Extracorporeal lithotripsy; urinary [107.] '
'10.7','Indwelling catheter [108.] '
'10.8','Procedures on the urethra [109.] '
'10.9','Other diagnostic procedures of urinary tract [110.] '
'10.10','Other non-OR therapeutic procedures of urinary tract [111.] '
'10.11','Other OR therapeutic procedures of urinary tract [112.] '
'11','Operations on the male genital organs '
'11.1','Transurethral resection of prostate (TURP) [113.] '
'11.2','Open prostatectomy [114.] '
'11.3','Circumcision [115.] '
'11.4','Diagnostic procedures; male genital [116.] '
'11.5','Other non-OR therapeutic procedures; male genital [117.] '
'11.6','Other OR therapeutic procedures; male genital [118.] '
'11.6.1','Unilateral orchiectomy '
'11.6.2','Bilateral orchiectomy '
'11.6.3','Orchiopexy '
'11.6.4','Insert or replace penile prosthesis '
'11.6.5','Other male genital procedures '
'12','Operations on the female genital organs '
'12.1','Oophorectomy; unilateral and bilateral [119.] '
'12.2','Other operations on ovary [120.] '
'12.3','Ligation of fallopian tubes [121.] '
'12.4','Other operations on fallopian tubes [123.] '
'12.5','Hysterectomy; abdominal and vaginal [124.] '
'12.5.1','Total abdominal hysterectomy '
'12.5.2','Vaginal hysterectomy '
'12.5.3','Other hysterectomy '
'12.6','Other excision of cervix and uterus [125.] '
'12.7','Abortion (termination of pregnancy) [126.] '
'12.8','Dilatation and curettage (D&C); aspiration after delivery or abortion [127.] '
'12.9','Diagnostic dilatation and curettage (D&C) [128.] '
'12.10','Repair of cystocele and rectocele; obliteration of vaginal vault [129.] '
'12.11','Other diagnostic procedures; female organs [130.] '
'12.12','Other non-OR therapeutic procedures; female organs [131.] '
'12.13','Other OR therapeutic procedures; female organs [132.] '
'13','Obstetrical procedures '
'13.1','Episiotomy [133.] '
'13.2','Cesarean section [134.] '
'13.3','Forceps; vacuum; and breech delivery [135.] '
'13.3.1','Low forceps delivery with episiotomy '
'13.3.2','Vacuum extraction with episiotomy '
'13.3.3','Other vacuum extraction '
'13.3.4','Other forceps or breech delivery '
'13.4','Artificial rupture of membranes to assist delivery [136.] '
'13.4.1','Induction of labor by artificial rupture of membranes '
'13.4.2','Other artificial rupture of membranes '             
'13.5','Other procedures to assist delivery [137.] '
'13.5.2','Medical induction of labor '
'13.5.3','Other manually assisted labor '
'13.5.4','Other delivery procedures '
'13.6','Diagnostic amniocentesis [138.] '
'13.7','Fetal monitoring [139.] '
'13.8','Repair of current obstetric laceration [140.] '
'13.8.1','Repair of obstetric laceration of uterus or cervix '
'13.8.2','Repair of obstetric laceration of bladder or urethra '
'13.8.3','Repair of obstetric laceration of rectum or sphincter '
'13.8.4','Repair of other obstetric laceration '
'13.9','Other therapeutic obstetrical procedures [141.] '
'13.10','Removal of ectopic pregnancy [122.] '
'14','Operations on the musculoskeletal system '
'14.1','Partial excision bone [142.] '
'14.2','Bunionectomy or repair of toe deformities [143.] '
'14.3','Treatment of fracture or dislocation '
'14.3.1','Treatment; facial fracture or dislocation [144.] '
'14.3.2','Treatment; fracture or dislocation of radius and ulna [145.] '
'14.3.3','Treatment; fracture or dislocation of hip and femur [146.] '
'14.3.4','Treatment; fracture or dislocation of lower extremity (other than hip or femur) [147.] '
'14.3.5','Other fracture and dislocation procedure [148.] '
'14.4','Arthroscopy [149.] '
'14.4.1','Arthroscopy of knee '
'14.4.2','Other arthroscopy '
'14.5','Division of joint capsule; ligament or cartilage [150.] '
'14.6','Excision of semilunar cartilage of knee [151.] '
'14.7','Arthroplasty '
'14.7.1','Arthroplasty knee [152.] '
'14.7.2','Hip replacement; total and partial [153.] '
'14.7.3','Arthroplasty other than hip or knee [154.] '
'14.8','Arthrocentesis [155.] '
'14.9','Injections and aspirations of muscles; tendons; bursa; joints and soft tissue [156.] '
'14.10','Amputation of lower extremity [157.] '
'14.10.1','Amputation of toe '
'14.10.2','Amputation through foot '
'14.10.3','Below knee amputation '
'14.10.4','Above knee amputation '
'14.10.5','Other lower extremity amputation '
'14.11','Spinal fusion [158.] '
'14.12','Other diagnostic procedures on musculoskeletal system [159.] '
'14.13','Other therapeutic procedures on muscles and tendons [160.] '
'14.13.1','Rotator cuff repair '
'14.13.2','Other suture of muscle; tendon and fascia '
'14.13.3','Other muscle and tendon procedures '
'14.14','Other OR therapeutic procedures on bone [161. ] '
'14.15','Other OR therapeutic procedures on joints [162.] '
'14.16','Other non-OR therapeutic procedures on musculoskeletal system [163.] '
'14.17','Other OR therapeutic procedures on musculoskeletal system [164.] '
'15','Operations on the integumentary system '
'15.1','Procedures on the breast '
'15.1.1','Breast biopsy and other diagnostic procedures on breast [165.] '
'15.1.2','Lumpectomy; quadrantectomy of breast [166.] '
'15.1.3','Mastectomy [167.] '
'15.2','Incision and drainage; skin and subcutaneous tissue [168.] '
'15.3','Debridement of wound; infection or burn [169.] '
'15.4','Excision of skin lesion [170.] '
'15.5','Suture of skin and subcutaneous tissue [171.] '
'15.6','Skin graft [172.] '
'15.7','Other diagnostic procedures on skin and subcutaneous tissue [173.] '
'15.8','Other non-OR therapeutic procedures on skin and breast [174.] '
'15.8.1','Aspiration of skin and subcutaneous tissue '
'15.8.2','Insertion of totally implantable vascular access device '
'15.8.3','Debridement of nail '
'15.8.4','Other skin and breast procedures; non-OR '
'15.9','Other OR therapeutic procedures on skin and breast [175.] '
'15.9.1','Bilateral reduction mammoplasty '
'15.9.2','Excision pilonidal cyst or sinus '
'15.9.3','Other skin and breast procedures; OR '
'16','Miscellaneous diagnostic and therapeutic procedures '
'16.1','Other organ transplantation [176.] '
'16.2','Computerized axial tomography (CT) scan '
'16.2.1','Computerized axial tomography (CT) scan head [177.] '
'16.2.2','CT scan chest [178.] '
'16.2.3','CT scan abdomen [179.] '
'16.2.4','Other CT scan [180.] '
'16.3','Myelogram [181.] '
'16.4','Mammography [182.] '
'16.5','Routine chest X-ray [183.] '
'16.6','Intraoperative cholangiogram [184.] '
'16.7','Upper gastrointestinal X-ray [185.] '
'16.8','Lower gastrointestinal X-ray [186.] '
'16.9','Intravenous pyelogram [187.] '
'16.10','Cerebral arteriogram [188.] '
'16.11','Contrast aortogram [189.] '
'16.12','Contrast arteriogram of femoral and lower extremity arteries [190.] '
'16.13','Arterio or venogram (not heart and head) [191.] '
'16.14','Diagnostic ultrasound '
'16.14.1','Diagnostic ultrasound of head and neck [192.] '
'16.14.2','Diagnostic ultrasound of heart (echocardiogram) [193.] '
'16.14.3','Diagnostic ultrasound of gastrointestinal tract [194.] '
'16.14.4','Diagnostic ultrasound of urinary tract [195.] '
'16.14.5','Diagnostic ultrasound of abdomen or retroperitoneum [196.] '
'16.14.6','Other diagnostic ultrasound [197.] '
'16.15','Magnetic resonance imaging [198.] '
'16.16','Electroencephalogram (EEG) [199.] '
'16.17','Nonoperative urinary system measurements [200.] '
'16.18','Cardiac stress tests [201.] '
'16.19','Electrocardiogram [202.] '
'16.20','Electrographic cardiac monitoring [203.] '
'16.21','Swan-Ganz catheterization for monitoring [204.] '
'16.22','Arterial blood gases [205.] '
'16.23','Microscopic examination (bacterial smear; culture; toxicology) [206.] '
'16.24','Radioisotope scan '
'16.24.1','Radioisotope bone scan [207.] '
'16.24.2','Radioisotope pulmonary scan [208.] '
'16.24.3','Radioisotope scan and function studies [209.] '
'16.24.4','Other radioisotope scan [210.] '
'16.25','Therapeutic radiology [211.] '
'16.26','Physical therapy '
'16.26.1','Diagnostic physical therapy [212.] '
'16.26.2','Physical therapy exercises; manipulation; and other procedures [213.] '
'16.26.3','Traction; splints; and other wound care [214.] '
'16.26.4','Other physical therapy and rehabilitation [215.] '
'16.27','Respiratory intubation and mechanical ventilation [216.] '
'16.27.1','Endotracheal intubation '
'16.27.2','Continuous mechanical ventilation less than 96 hours '
'16.27.3','Continuous mechanical ventilation 96 hours or more '
'16.27.4','Other respiratory intubation and mechanical ventilation '
'16.28','Other respiratory therapy [217.] '
'16.28.1','Respiratory medication administered by nebulizer '
'16.28.2','Oxygen therapy '
'16.28.3','Other respiratory treatments '
'16.29','Psychological and psychiatric evaluation and therapy [218.] '
'16.29.1','Psychiatric drug therapy '
'16.29.2','Electroconvulsive therapy '
'16.29.3','Individual psychotherapy '
'16.29.4','Other psychological and psychiatric evaluation and therapy '
'16.30','Alcohol and drug rehabilitation/ detoxification [219.] '
'16.30.1','Alcohol rehabilitation '
'16.30.2','Alcohol detoxification '
'16.30.3','Alcohol rehabilitation and detoxification '
'16.30.4','Drug rehabilitation '
'16.30.5','Drug detoxification '
'16.30.6','Drug rehabilitation and detoxification '
'16.30.7','Alcohol and drug rehabilitation '
'16.30.8','Alcohol and drug detoxification '
'16.30.9','Alcohol and drug rehabilitation and detoxification '
'16.31','Ophthalmologic and otologic diagnosis and treatment [220.] '
'16.32','Nasogastric tube [221.] '
'16.33','Blood transfusion [222.] '
'16.34','Enteral and parenteral nutrition [223.] '
'16.35','Cancer chemotherapy [224.] '
'16.36','Conversion of cardiac rhythm [225.] '
'16.37','Other diagnostic radiology and related techniques [226.] '
'16.38','Other diagnostic procedures (interview; evaluation; consultation) [227.] '
'16.39','Prophylactic vaccinations and inoculations [228.] '
'16.40','Nonoperative removal of foreign body [229.] '
'16.41','Extracorporeal shock wave lithotripsy; other than urinary [230.] '
'16.42','Other therapeutic procedures [231.] '
'16.42.1','Inject antibiotic '
'16.42.2','Other phototherapy (newborn) '
'16.42.3','Injection of Thromobolytic Agent (not coronary) '
'16.42.4','Other therapies '
